SUBJECT,hour_bin,unclean_total_awc,unclean_total_ctc,unclean_total_cvc,unclean_total_hrs,clean_total_awc,clean_total_ctc,clean_total_cvc,clean_total_hrs
308,12,2585,81,164,1,2585,81,164,1
308,13,1032,54,177,1,1032,54,177,1
308,14,3206,35,112,1,3206,35,112,1
308,15,827,33,92,1,827,33,92,1
308,17,271,21,85,1,271,21,77,0.6666666666666666
308,18,1033,48,259,1,1033,48,259,1
308,19,291,7,49,1,202,6,47,0.5
309,11,1114,72,295,1.0022222222222221,1114,72,295,1.0022222222222221
309,9,365,32,115,0.21694444444444444,365,32,115,0.21694444444444444
309,10,287,20,96,1,287,20,95,0.5833333333333334
309,12,240,10,66,1,240,10,61,0.8333333333333334
309,13,378,21,103,1,378,21,100,0.5833333333333334
309,14,407,33,238,1,407,33,237,0.9166666666666666
309,15,538,36,211,1,538,36,201,0.75
309,16,389,17,80,0.7152777777777778,385,17,80,0.5833333333333334
310,12,2109,57,190,2.0025,2100,57,189,1.5858333333333334
310,9,1244,21,56,0.475,1244,21,56,0.475
310,10,4311,122,301,2,4311,122,301,2
310,11,3588,114,293,2,3588,114,293,2
310,13,209,4,10,1.0544444444444445,110,0,0,0.05444444444444444
310,15,731,17,29,1,708,17,29,0.3333333333333333
310,16,1082,31,95,1,1082,31,95,1
310,17,755,30,116,1,755,30,116,1
310,18,1295,44,116,1,1295,44,116,1
310,19,1114,35,110,1,1114,35,110,1
310,20,1028,22,103,1,1028,22,103,1
310,21,405,3,9,0.19916666666666666,405,3,9,0.19916666666666666
311,17,1966,62,165,1.003611111111111,1966,62,165,0.9202777777777778
311,11,533,7,8,0.11444444444444445,533,7,8,0.11444444444444445
311,12,2835,114,243,1,2835,114,243,1
311,13,1827,57,128,1,1827,57,128,1
311,14,1169,35,104,1,1169,35,104,1
311,15,1520,45,96,1,1504,45,88,0.4166666666666667
311,18,1995,41,74,1,1995,41,74,1
311,19,883,27,108,1,883,27,108,1
311,20,1333,46,112,1,1333,46,112,1
311,21,1863,68,200,1,1863,68,200,1
311,22,1359,33,144,0.6447222222222222,1359,33,144,0.6447222222222222
312,14,180,6,29,1.0022222222222221,180,6,26,0.5855555555555556
312,21,461,36,103,0.24833333333333332,461,36,103,0.24833333333333332
312,22,1155,51,164,0.6975,1155,51,164,0.6975
312,13,659,27,66,0.5991666666666666,659,27,66,0.5991666666666666
312,15,315,18,91,0.8891666666666667,315,18,82,0.75
312,17,479,10,18,0.5783333333333334,479,10,18,0.5783333333333334
312,10,156,13,132,0.42694444444444446,156,13,132,0.42694444444444446
312,11,1095,46,123,0.8319444444444445,1095,46,123,0.8319444444444445
313,9,35,2,5,0.03388888888888889,35,2,5,0.03388888888888889
313,10,1243,65,196,1,1243,65,196,1
313,11,716,34,149,1,716,34,149,1
313,12,1606,62,213,1,1606,62,213,1
313,13,4462,87,184,1,4462,87,184,1
313,14,5229,25,27,1,3356,23,25,0.4166666666666667
313,15,2565,53,117,1,2565,53,117,1
313,16,4695,75,150,1,4695,75,150,1
313,17,4659,70,104,0.86,4659,70,104,0.86
320,15,146,3,8,1.0030555555555556,44,1,1,0.0030555555555555557
320,11,257,21,144,0.5591666666666667,257,21,144,0.5591666666666667
320,12,771,21,75,1,771,21,75,0.9166666666666666
320,13,621,18,113,1,621,18,104,0.75
320,14,5,0,8,1,2,0,0,0.08333333333333333
320,16,70,1,18,1,70,1,13,0.25
320,17,633,21,96,1,633,21,96,1
320,18,471,25,189,1,471,25,189,1
320,19,70,5,59,0.4766666666666667,70,5,59,0.4766666666666667
330,13,127,8,35,0.06472222222222222,127,8,35,0.06472222222222222
330,10,729,51,157,0.4925,729,51,157,0.4925
330,11,1419,79,264,1,1419,79,264,1
330,12,935,75,302,1,935,75,302,1
330,16,344,4,36,0.4508333333333333,344,4,36,0.4508333333333333
330,17,778,25,120,1,778,25,120,1
330,18,547,29,87,0.5925,547,29,87,0.5925
332,9,586,25,109,0.46166666666666667,586,25,109,0.46166666666666667
332,10,484,31,285,1,484,31,253,0.8333333333333334
332,11,614,37,168,1,605,37,168,0.6666666666666666
332,13,394,11,79,1,394,11,79,0.5833333333333334
332,14,327,7,68,1,327,7,68,0.8333333333333334
332,15,1267,61,281,1,1267,61,281,1
332,16,663,17,71,0.5430555555555555,658,17,70,0.5
334,14,232,16,90,0.4563888888888889,232,16,90,0.4563888888888889
334,15,1523,52,189,1,1523,52,189,1
334,16,771,30,135,1,771,30,135,1
334,17,695,21,107,1.0038888888888888,656,21,107,1
334,18,1430,24,66,1,1430,24,66,1
334,19,1237,36,98,1,1237,36,98,1
334,20,4379,101,201,1,4379,101,201,1
334,21,2138,26,64,1,2138,26,64,1
334,22,765,29,134,1,765,29,134,1
334,23,951,41,127,1,951,41,127,1
334,NA,545,20,96,0.8163888888888889,545,20,96,0.8163888888888889
335,9,808,45,146,0.5675,808,45,146,0.5675
335,10,1638,115,367,1,1638,115,367,1
335,11,4049,101,253,0.9797222222222223,4049,101,253,0.9797222222222223
335,12,2297,99,322,1,2297,99,322,1
335,13,886,43,141,1.0019444444444445,842,43,140,0.9166666666666666
335,14,527,21,67,1,461,20,62,0.4166666666666667
335,15,3095,122,325,1,3095,122,325,1
335,16,1282,87,327,1,1282,87,327,1
335,17,1348,74,306,1,1348,74,306,1
335,18,1388,48,105,1,1388,48,105,1
335,19,1430,48,117,1,1430,48,117,1
335,20,1096,42,90,0.35444444444444445,1096,42,90,0.35444444444444445
336,11,202,9,72,0.2475,202,9,72,0.2475
336,13,96,3,7,0.07138888888888889,96,3,7,0.07138888888888889
336,14,1619,28,90,1,1619,28,90,1
336,15,1143,28,97,1,1143,28,97,1
336,16,393,14,159,1,393,14,159,1
336,17,636,17,76,1,636,17,76,1
336,18,904,39,153,1,904,38,143,0.8333333333333334
336,20,94,4,7,1,88,4,7,0.4166666666666667
336,21,239,7,18,0.13027777777777777,239,7,18,0.13027777777777777
338,10,1546,73,393,1.1861111111111111,1546,73,393,1.1861111111111111
338,11,2877,203,652,1.2897222222222222,2838,202,651,1.2866666666666666
338,12,1114,78,391,1,1114,78,391,1
338,13,1964,98,337,1,1964,98,337,1
338,14,1115,87,445,1,1115,87,445,1
338,15,1479,74,154,1,1479,74,154,1
338,16,1931,117,321,1,1931,117,321,1
338,17,1438,88,309,1,1369,84,284,0.8333333333333334
338,18,839,40,326,1,337,28,236,0.3333333333333333
338,19,1207,55,196,1,1207,55,196,1
338,20,604,29,85,0.5763888888888888,604,29,85,0.5763888888888888
338,9,267,30,155,0.17,267,30,155,0.17
